"id","house","name","ml","tipo","precioUSD"
"1","AFNAN","Afnan 9 AM","100","Eau de Parfum","40"
"2","AFNAN","Afnan 9 AM Dive","100","Eau de Parfum","40"
"3","AFNAN","Afnan 9 PM","100","Eau de Parfum","40"
"4","AFNAN","Afnan Supremacy Collector's Edition Pour Homme","100","Eau de Parfum","60"
"5","AFNAN","Afnan Turathi Blue","90","Eau de Parfum","45"
"6","AL HARAMAIN","Al Haramain Amber Oud Carbon Edition","60","Eau de Parfum","55"
"7","AL HARAMAIN","Al Haramain Amber Oud Dubai Night","75","Eau de Parfum","65"
"8","AL HARAMAIN","Al Haramain Amber Oud Gold Edition","120","Eau de Parfum","55"
"9","AL HARAMAIN","Al Haramain Amber Oud Gold Edition","200","Eau de Parfum","95"
"10","AL HARAMAIN","Al Haramain Amber Oud Gold Edition","60","Eau de Parfum","55"
"11","AL HARAMAIN","Al Haramain Junoon Rose","75","Eau de Parfum","65"
"12","ANTONIO BANDERAS","Antonio Banderas Blue Seduction Woman","200","Eau de Toilette","35"
"13","ANTONIO BANDERAS","Antonio Banderas Her Golden Secret","80","Eau de Toilette","25"
"14","ANTONIO BANDERAS","Antonio Banderas Her Secret Absolu","80","Eau de Toilette","25"
"15","ANTONIO BANDERAS","Antonio Banderas Her Secret Desire","80","Eau de Toilette","25"
"16","ANTONIO BANDERAS","Antonio Banderas Her Secret Temptation","80","Eau de Toilette","25"
"17","ARMAF","Armaf Aura","100","Eau de Parfum","35"
"18","ARMAF","Armaf Checkmate Queen","100","Eau de Parfum","55"
"19","ARMAF","Armaf Club de Nuit Blue Iconic","105","Eau de Parfum","55"
"20","ARMAF","Armaf Club de Nuit Intense","105","Eau de Toilette","40"
"21","ARMAF","Armaf Club de Nuit Maleka","105","Eau de Parfum","50"
"22","ARMAF","Armaf Club de Nuit Man","105","Eau de Toilette","70"
"23","ARMAF","Armaf Club de Nuit Milestone","105","Eau de Parfum","50"
"24","ARMAF","Armaf Club de Nuit Précieux I","55","Eau de Parfum","70"
"25","ARMAF","Armaf Club de Nuit Sillage","105","Eau de Parfum","50"
"26","ARMAF","Armaf Club de Nuit Urban Elixir","105","Elixir","70"
"27","ARMAF","Armaf Connoisseur Man","100","Eau de Parfum","50"
"28","ARMAF","Armaf Connoisseur Women","100","Eau de Parfum","45"
"29","ARMAF","Armaf El Cielo Pour Homme","100","Eau de Parfum","35"
"30","ARMAF","Armaf Hunter","100","Eau de Parfum","35"
"31","ARMAF","Armaf Hunter Intense","100","Eau de Parfum","35"
"32","ARMAF","Armaf Island Bliss","100","Eau de Parfum","60"
"33","ARMAF","Armaf La Rosa","100","Eau de Parfum","35"
"34","ARMAF","Armaf Odyssey Aoud","100","Eau de Parfum","45"
"35","ARMAF","Armaf Odyssey Artisto","100","Eau de Parfum","35"
"36","ARMAF","Armaf Odyssey Bahamas","100","Eau de Parfum","60"
"37","ARMAF","Armaf Odyssey Black Forest","100","Eau de Parfum","60"
"38","ARMAF","Armaf Odyssey Candee","100","Eau de Parfum","35"
"39","ARMAF","Armaf Odyssey Dubai Chocolat","100","Eau de Parfum","35"
"40","ARMAF","Armaf Odyssey Eau de Montagne","100","Eau de Parfum","60"
"41","ARMAF","Armaf Odyssey Femme","100","Eau de Parfum","35"
"42","ARMAF","Armaf Odyssey Go Mango","100","Eau de Parfum","45"
"43","ARMAF","Armaf Odyssey Homme","100","Eau de Parfum","40"
"44","ARMAF","Armaf Odyssey Homme White Edition","100","Eau de Parfum","40"
"45","ARMAF","Armaf Odyssey Limoni Fresh","100","Eau de Parfum","35"
"46","ARMAF","Armaf Odyssey Mandarin Sky","100","Eau de Parfum","70"
"47","ARMAF","Armaf Odyssey Mandarin Sky Elixir","100","Elixir","70"
"48","ARMAF","Armaf Odyssey Mega Man","100","Eau de Parfum","35"
"49","ARMAF","Armaf Odyssey Revolution","100","Eau de Parfum","45"
"50","ARMAF","Armaf Odyssey Spectra","100","Eau de Parfum","35"
"51","ARMAF","Armaf Odyssey Tyrant Special Edition","100","Eau de Parfum","35"
"52","ARMAF","Armaf Tag Her","100","Eau de Parfum","45"
"53","ARMAF","Armaf Tag Him","100","Eau de Parfum","45"
"54","ARMAF","Armaf The Pride of Armaf for Women","100","Eau de Parfum","45"
"55","ARMAF","Armaf Tres Jour Pour Femme","100","Eau de Parfum","45"
"56","ARMAF","Armaf Tres Nuit","100","Eau de Parfum","45"
"57","ARMAF","Armaf Ventana Pour Homme","100","Eau de Parfum","45"
"58","BENETTON","Benetton Hot Gold","100","Eau de Toilette","15"
"59","BENETTON","Benetton Sisterland Green Jasmine","80","Eau de Toilette","30"
"60","BHARARA","Bharara Champagne Pink","100","Eau de Parfum","45"
"61","BHARARA","Bharara King Eau de Parfum","100","Eau de Parfum","100"
"62","BHARARA","Bharara King Parfum","100","Parfum","100"
"63","BHARARA","Bharara Onyx","100","Eau de Parfum","90"
"64","BHARARA","Bharara Rome Pour Femme","100","Eau de Parfum","45"
"65","BHARARA","Bharara Rome Pour Homme","100","Eau de Parfum","40"
"66","BRITNEY SPEARS","Britney Spears Circus Fantasy","100","Eau de Parfum","30"
"67","BRITNEY SPEARS","Britney Spears Curious","100","Eau de Parfum","30"
"68","BRITNEY SPEARS","Britney Spears Fantasy","100","Eau de Parfum","30"
"69","BRITNEY SPEARS","Britney Spears Hidden Fantasy","100","Eau de Parfum","30"
"70","BRITNEY SPEARS","Britney Spears Midnight Fantasy","100","Eau de Parfum","30"
"71","BVLGARI","Bvlgari Aqva Pour Homme Marine","100","Eau de Toilette","155"
"72","BVLGARI","Bvlgari Man in Black","100","Eau de Parfum","150"
"73","CACHAREL","Cacharel Anaïs Anaïs L'Original","50","Eau de Toilette",""
"74","CALVIN KLEIN","Calvin Klein CK IN2U for Her","100","Eau de Toilette","30"
"75","CALVIN KLEIN","Calvin Klein CK One Shock for Her","100","Eau de Toilette","30"
"76","CALVIN KLEIN","Calvin Klein Eternity for Women","100","Eau de Parfum","30"
"77","CALVIN KLEIN","Calvin Klein Euphoria","100","Eau de Parfum","30"
"78","CALVIN KLEIN","Calvin Klein Obsession","100","Eau de Parfum","30"
"79","CALVIN KLEIN","Calvin Klein Truth","100","Eau de Toilette","30"
"80","CAROLINA HERRERA","Carolina Herrera Eau de Parfum","100","Eau de Parfum","100"
"81","CLINIQUE","Clinique Happy Heart","50","Eau de Parfum",""
"82","DAVIDOFF","Davidoff Cool Water for Women","100","Eau de Toilette","60"
"83","DIESEL","Diesel Plus Plus Feminine","75","Eau de Toilette","20"
"84","DIOR","Dior Dolce Vita","100","Eau de Toilette","220"
"85","DIOR","Dior Homme 2020","100","Eau de Toilette","220"
"86","DIOR","Dior Homme Intense 2025","100","Eau de Parfum","220"
"87","DIOR","Dior Poison Girl Eau de Toilette","100","Eau de Toilette","150"
"88","DIOR","Dior Sauvage","100","Eau de Toilette","250"
"89","DIOR","Dior Sauvage Elixir","60","Elixir",""
"90","DOLCE & GABBANA","Dolce & Gabbana Devotion Pour Homme","100","Eau de Parfum","130"
"91","DOLCE & GABBANA","Dolce & Gabbana Dolce Peony","75","Eau de Parfum","80"
"92","DONNA KARAN","DKNY Be Delicious","100","Eau de Parfum",""
"93","DUMONT","Dumont Nitro Black","100","Eau de Parfum","45"
"94","DUMONT","Dumont Nitro Blue","100","Eau de Parfum","45"
"95","DUMONT","Dumont Nitro Platinum","100","Eau de Parfum","45"
"96","DUMONT","Dumont Nitro Red","100","Eau de Parfum","45"
"97","DUMONT","Dumont Nitro Red Intensely","100","Eau de Parfum","45"
"98","DUMONT","Dumont Nitro White","100","Eau de Parfum","45"
"99","ELIZABETH ARDEN","Elizabeth Arden Green Tea","100","Eau de Toilette","20"
"100","ELIZABETH ARDEN","Elizabeth Arden Sunflowers","100","Eau de Toilette","25"
"101","EMPER","Emper Ilang 62","100","Eau de Parfum","50"
"102","EMPER","Emper Stallion 53","100","Eau de Parfum","35"
"103","EMPER","Emper The Black 92","100","Eau de Parfum","40"
"104","GIORGIO ARMANI","Giorgio Armani Armani Code Eau de Toilette","75","Eau de Toilette","130"
"105","GIORGIO ARMANI","Giorgio Armani Code for Women","75","Eau de Toilette","130"
"106","GIORGIO ARMANI","Emporio Armani Stronger With You Parfum","100","Parfum","195"
"107","GUCCI","Gucci Bloom","100","Eau de Parfum",""
"108","GUCCI","Gucci Bloom Eau de Toilette","100","Eau de Toilette",""
"109","GUCCI","Gucci Rush","75","Eau de Toilette","90"
"110","GUESS","Guess for Women","75","Eau de Toilette","35"
"111","GUESS","Guess Seductive","75","Eau de Toilette","35"
"112","HALLOWEEN","Halloween for Woman","100","Eau de Toilette","55"
"113","HUGO BOSS","Hugo Boss Boss Orange","75","Eau de Toilette","55"
"114","HUGO BOSS","Hugo Boss Deep Red","90","Eau de Parfum","45"
"115","HUGO BOSS","Hugo Boss Hugo XX","100","Eau de Toilette","40"
"116","ISSEY MIYAKE","Issey Miyake A Drop d'Issey","90","Eau de Parfum","50"
"117","ISSEY MIYAKE","Issey Miyake Pleats Please L'Eau","100","Eau de Toilette","45"
"118","JACQUES SAINT PRÉ","Jacques Saint Pres Ciel","100","Eau de Parfum",""
"119","JIMMY CHOO","Jimmy Choo Flash","100","Eau de Toilette","55"
"120","JO MILANO PARIS","Jo Milano Paris Game of Spades Full House","100","Eau de Parfum","110"
"121","JO MILANO PARIS","Jo Milano Paris Game of Spades Gold","90","Eau de Parfum","120"
"122","JO MILANO PARIS","Jo Milano Paris Game of Spades Rouge","100","Eau de Parfum","110"
"123","KATY PERRY","Katy Perry Mad Love","100","Eau de Parfum","30"
"124","KATY PERRY","Katy Perry Killer Queen","100","Eau de Parfum","45"
"125","KATY PERRY","Katy Perry Meow","100","Eau de Parfum","30"
"126","KATY PERRY","Katy Perry Purr","100","Eau de Parfum","30"
